Question,Answer A,Answer B,Answer C,Correct Option
You may drive off the paved roadway to pass another vehicle:,If the shoulder is wide enough to accommodate your vehicle.,If the vehicle ahead of you is turning left.,Under no circumstances.,C
When approaching a railroad crossing with no warning device the speed limit is:,15 mph.,20 mph.,25 mph.,A
Parallel parking is when the:,Front wheels are turned toward the street.,Vehicle is in line with other parked vehicles.,Rear wheels are touching the curb.,B
When you are merging onto the freeway you should be driving:,At or near the same speed as the traffic on the freeway.,5 to 10 MPH slower than the traffic on the freeway.,The posted speed limit for traffic on the freeway.,A
Dim your high-beam headlights to low-beams within ______ feet when a vehicle is coming towards you.,200,300,500,C
A blue curb means:,Parking for mail delivery only.,Parking for disabled persons with a special placard or license plate.,Parking for disabled persons.,B
There is a school bus ahead of you in your lane with flashing yellow lights. You should:,Stop, then proceed when you think all the children have exited the bus.,Slow to 25 MPH and pass cautiously.,Slow down and prepare to stop.,C
California's "Basic Speed Law" says:,You should never drive faster than posted speed limits.,You should never drive faster than is safe for current conditions.,The maximum speed limit in California is 70 mph on certain freeways.,B
You just sold your vehicle. You must notify ______ within 5 days.,CHP,DMV,your insurance provider,B
Looking down the road to where your vehicle will be in about 10 seconds helps you to ______________.,Enjoy the scenery,Avoid last minute moves,See hazards inside your car,B
Which of these is not a pedestrian:,Bicyclist,Disabled person using a wheelchair.,Blind person with a cane.,A
Which of the following statements about blind spots is true?,They are eliminated if you have one outside mirror on each side of the vehicle.,Large trucks have bigger blind spots than most passenger vehicles.,Blind spots can be checked by looking in your rear-view mirrors.,B
Which of these is considered a common cause of collision:,Unsafe speed,Not following stop signs and signals and other signs.,All the above.,C
A person convicted of reckless driving or engaging in a speed contest that causes injury to another person is subject to:,Imprisonment and/or fine.,Community service.,All the above.,A
You may legally block an intersection:,When you entered the intersection on the green light.,During rush hour traffic.,Under no circumstances.,C
When you park on a hill your vehicle could roll due to an equipment failure. Remember to:,Leave the vehicle in neutral.,Set the parking brake.,Set the parking break and leave the vehicle in park.,C
With a Class C driver's license, a person may drive a:,Light rail train.,Car or van or pick-up truck,Semi-truck,B
To turn left from a one-way street onto a one-way street you should start your turn from:,Any lane,The lane closest to the left curb.,The lane in the center of the road.,B
If you are involved in a traffic collision with property damage of $1000 or more you are required to complete and submit a written report (SR1) to:,CHP.,DMV.,EDD,B
Roadways are least slippery:,On bridges in freezing temperatures.,After it has been raining for a while.,During the first rain after a dry spell.,B
You may not park your vehicle:,On the side of the freeway in an emergency.,Next to a red painted curb.,Within 100 feet of an elementary school.,B
If you are involved in a traffic collision and no one is injured you are required to complete and submit a written report (SR1) to:,EDD.,DMV.,CHP.,B
Treat lines as a barrier when:,Two sets of solid double white lines are spaced two feet apart.,Two sets of solid double yellow lines are spaced two or more feet apart.,Two sets of broken yellow lines are spaced one foot apart.,B
You want to make a right turn at an upcoming intersection. You should slow down and:,Move toward the left side of your lane.,Avoid driving in the bicycle lane.,Signal for 5 feet before turning.,A
You are driving on a freeway and the posted speed limit is 65 mph. The traffic is traveling at 70 mph. You may legally drive:,70 mph or faster to keep up with the speed of traffic.,Between 65 mph and 70 mph.,No faster than 65 mph.,C
It is illegal to park your vehicle:,In an unmarked crosswalk.,Within three feet of a private driveway.,In a bicycle lane.,A
The safest precaution you can take regarding the use of cell phones and driving is:,Only use your cell phone in hands-free mode when necessary.,Keep your phone within easy reach so you will not need to take your eyes off the road.,Review the number before answering a call.,A
When is it safe to enter an intersection on a solid green light?,When you can go around the traffic already in the intersection.,When you have enough space to cross the intersection before the light turns red.,When you cannot completely cross the intersection.,B
You are getting ready to make a right turn. You should:,Signal and turn immediately.,Stop before entering the right lane and let all other traffic go first.,Slow down or stop and look left-right-left and then make the turn when safe.,B
You must obey instructions from school safety patrols or crossing guards:,At all times.,Only during school hours.,Unless you do not see any children present.,A
You are driving on the freeway. The vehicle in front of you is a large truck. You should drive:,Closely behind the truck in bad weather because the driver can see farther ahead.,Farther behind the truck than you would a passenger vehicle to be out of the truck driver's blind spot.,No more than one car length behind the truck.,B
All the following practices are dangerous to do while driving. Which of these is also illegal?,Listening to music through headphones that cover both ears.,Adjusting your outside mirror.,Transporting an unrestrained animal inside your vehicle.,A
Do not begin crossing railroad tracks if:,You do not have enough room to completely cross.,The railroad crossing is in a city that has frequent train traffic.,You transport two or more young children in a passenger vehicle.,A
When you tailgate other vehicles:,You are following too closely.,Your action cannot result in a traffic citation.,You help reduce traffic congestion.,A
You must drive slower than the posted speed limit:,In bad weather and/or heavy traffic.,During morning hours.,At all times.,A
You are driving and a dust storm blows across the freeway reducing your visibility. You should drive slower and turn on your:,Interior lights.,Parking lights.,Headlights.,C
Which of these lanes may a driver enter within 200 feet of an intersection where they plan to turn right?,Bus lane.,HOV lane,Bike lane.,C
Which of these traffic signal lights directs a driver to slow down and cross the intersection carefully?,Flashing red.,Solid red.,Flashing yellow.,C
What should a driver do at a crosswalk with flashing lights:,Make eye contact with the pedestrians and the pass them.,Always stop.,Look for pedestrians and be prepared to stop.,C
When is it legal for a driver or a passenger in a vehicle to eat cannabis products?,When the cannabis product was prescribed by a doctor.,Never.,When stopped at a red light.,B